IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,174,9.18
150.230.123.191,443,443,true,FRA,Europe,Frankfurt,224,9.18
146.56.160.143,443,443,true,SIN,Asia Pacific,Singapore,219,9.10
158.178.149.0,443,443,true,FRA,Europe,Frankfurt,177,9.09
150.230.115.0,443,443,true,FRA,Europe,Frankfurt,247,9.08
158.180.46.140,443,443,true,FRA,Europe,Frankfurt,169,9.05
132.226.173.245,443,443,true,SIN,Asia Pacific,Singapore,215,9.03
141.144.199.38,443,443,true,FRA,Europe,Frankfurt,187,9.03
146.56.38.122,443,443,true,SIN,Asia Pacific,Singapore,220,9.03
141.144.253.15,443,443,true,FRA,Europe,Frankfurt,192,9.03
141.144.198.162,443,443,true,FRA,Europe,Frankfurt,233,9.01
158.101.214.60,443,443,true,FRA,Europe,Frankfurt,185,8.99
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,314,8.97
158.178.158.184,443,443,true,FRA,Europe,Frankfurt,195,8.92
140.238.7.68,443,443,true,SIN,Asia Pacific,Singapore,212,8.85
141.147.91.55,443,443,true,FRA,Europe,Frankfurt,202,8.84
193.122.115.219,443,443,true,SIN,Asia Pacific,Singapore,204,8.83
158.178.155.82,443,443,true,FRA,Europe,Frankfurt,159,8.83
140.238.121.101,443,443,true,FRA,Europe,Frankfurt,180,8.73
141.147.109.179,443,443,true,FRA,Europe,Frankfurt,176,8.73
146.56.179.174,443,443,true,SIN,Asia Pacific,Singapore,213,8.71
89.168.52.251,8443,443,true,CDG,Europe,Paris,154,8.57
141.147.100.246,443,443,true,FRA,Europe,Frankfurt,201,8.42
64.110.66.239,443,443,true,SIN,Asia Pacific,Singapore,203,8.32
129.146.46.164,443,443,true,LAX,North America,Los Angeles,250,8.32
192.9.138.241,443,443,true,SJC,North America,San Jose,213,8.23
141.144.194.139,443,443,true,FRA,Europe,Frankfurt,175,8.23
152.70.117.136,443,443,true,SJC,North America,San Jose,210,8.23
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,192,8.07
132.226.175.156,443,443,true,SIN,Asia Pacific,Singapore,225,8.06
130.162.167.173,443,443,true,FRA,Europe,Frankfurt,182,7.90
64.110.65.239,443,443,true,SIN,Asia Pacific,Singapore,209,7.88
158.101.210.52,443,443,true,FRA,Europe,Frankfurt,172,7.88
146.235.210.182,8443,443,true,SJC,North America,San Jose,214,7.86
165.1.79.60,8443,443,true,SJC,North America,San Jose,207,7.82
141.147.75.84,443,443,true,FRA,Europe,Frankfurt,210,7.76
132.226.20.240,443,443,true,SIN,Asia Pacific,Singapore,213,7.75
192.9.132.79,443,443,true,SJC,North America,San Jose,217,7.72
146.235.199.98,443,443,true,SJC,North America,San Jose,208,7.69
150.230.47.17,443,443,true,SJC,North America,San Jose,219,7.68
164.152.26.70,2052,443,true,ORD,North America,Chicago,219,7.68
138.2.158.40,443,443,true,FRA,Europe,Frankfurt,179,7.67
146.235.210.182,2053,443,true,SJC,North America,San Jose,213,7.66
158.101.214.124,443,443,true,FRA,Europe,Frankfurt,234,7.66
152.70.123.225,8443,443,true,SJC,North America,San Jose,219,7.63
141.147.98.33,443,443,true,FRA,Europe,Frankfurt,177,7.61
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,167,7.57
132.145.82.137,443,443,true,ICN,Asia Pacific,Seoul,112,7.46
141.144.199.237,443,443,true,FRA,Europe,Frankfurt,171,7.42
144.24.243.207,443,443,true,ZRH,Europe,Zurich,169,7.42
141.147.64.91,443,443,true,FRA,Europe,Frankfurt,191,7.30
40.233.70.7,8443,443,true,YYZ,North America,Toronto,242,7.14
158.101.98.60,2095,443,true,IAD,North America,Ashburn,247,7.05
192.9.137.193,8443,443,true,SJC,North America,San Jose,192,7.05
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,188,6.92
164.152.26.70,2086,443,true,ORD,North America,Chicago,219,6.92
129.146.7.98,443,443,true,LAX,North America,Los Angeles,207,6.91
129.80.237.223,8443,443,true,IAD,North America,Ashburn,246,6.91
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,187,6.85
132.145.54.84,2053,443,true,LHR,Europe,London,167,6.75
129.146.248.140,443,443,true,LAX,North America,Los Angeles,228,6.65
152.67.233.64,443,443,true,SJC,North America,San Jose,197,6.65
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,203,6.58
140.238.28.86,443,443,true,HKG,Asia Pacific,Hong Kong,135,6.54
141.147.66.102,443,443,true,FRA,Europe,Frankfurt,265,6.53
132.226.232.162,443,443,true,SIN,Asia Pacific,Singapore,300,6.31
193.122.197.111,443,443,true,IAD,North America,Ashburn,257,6.22
192.9.250.241,443,443,true,SJC,North America,San Jose,194,6.17
143.47.243.144,2053,443,true,LHR,Europe,London,187,6.09
204.216.105.106,8443,8443,true,YUL,North America,Montréal,265,6.07
132.145.54.84,8443,443,true,LHR,Europe,London,173,5.76
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,171,5.75
168.138.201.0,443,443,true,NRT,Asia Pacific,Tokyo,88,5.75
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,74,5.72
89.168.19.74,2053,443,true,MRS,Europe,Marseille,245,5.71
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,90,5.69
141.147.161.250,443,443,true,NRT,Asia Pacific,Tokyo,70,5.66
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,72,5.66
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,82,5.56
84.235.174.140,443,443,true,FRA,Europe,Frankfurt,217,5.53
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,104,5.51
143.47.243.144,8443,443,true,LHR,Europe,London,160,5.47
140.238.195.98,443,443,true,SYD,Oceania,Sydney,93,5.38
68.233.127.163,8443,443,true,YYZ,North America,Toronto,259,5.34
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,235,5.31
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,203,5.29
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,187,5.25
146.56.46.84,443,443,true,NRT,Asia Pacific,Tokyo,111,5.22
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,81,5.19
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,122,5.15
150.136.241.40,8443,443,true,IAD,North America,Ashburn,245,4.99
158.178.155.98,443,443,true,FRA,Europe,Frankfurt,229,4.98
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,177,4.80
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,176,4.76
141.145.205.115,8443,8443,true,CDG,Europe,Paris,166,4.70
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,174,4.69
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,169,4.69
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,212,4.68
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,190,4.62
193.122.125.174,2053,443,true,ICN,Asia Pacific,Seoul,93,4.60
146.235.219.98,443,443,true,SJC,North America,San Jose,215,4.41
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,68,4.36
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,200,4.35
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,215,4.17
158.101.15.48,443,443,true,LAX,North America,Los Angeles,196,4.11
155.248.196.123,443,443,true,YVR,North America,Vancouver,227,4.11
158.101.24.17,443,443,true,LAX,North America,Los Angeles,207,4.09
152.67.231.219,443,443,true,SJC,North America,San Jose,221,4.05
132.145.93.198,2083,2053,true,NRT,Asia Pacific,Tokyo,154,4.05
192.9.180.162,443,443,true,SYD,Oceania,Sydney,93,4.04
159.13.46.42,443,443,true,SYD,Oceania,Sydney,94,4.02
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,100,4.01
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,200,4.01
150.136.121.64,80,443,true,IAD,North America,Ashburn,274,3.94
129.153.213.8,443,443,true,LAX,North America,Los Angeles,224,3.90
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,170,3.83
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,168,3.81
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,181,3.76
141.144.205.87,443,443,true,FRA,Europe,Frankfurt,173,3.74
151.145.36.72,8443,443,true,YYZ,North America,Toronto,274,3.73
129.146.254.39,443,443,true,LAX,North America,Los Angeles,192,3.65
129.159.120.244,8443,443,true,IAD,North America,Ashburn,245,3.64
204.216.222.126,443,443,true,MRS,Europe,Marseille,246,3.61
132.226.226.100,2053,443,true,ICN,Asia Pacific,Seoul,112,3.61
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,200,3.18
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,169,2.99
140.238.158.238,8080,443,true,YYZ,North America,Toronto,231,2.93
141.147.29.113,8443,443,true,FRA,Europe,Frankfurt,176,2.92
89.168.43.31,8443,443,true,CDG,Europe,Paris,154,2.89
89.168.102.96,443,443,true,FRA,Europe,Frankfurt,166,2.82
89.168.43.31,2053,443,true,CDG,Europe,Paris,155,2.71
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,165,2.63
143.47.188.240,443,443,true,FRA,Europe,Frankfurt,159,2.62
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,179,2.62
144.22.252.124,443,443,true,GRU,South America,São Paulo,356,2.55
158.180.231.216,443,443,true,MRS,Europe,Marseille,281,2.46
132.226.163.224,8443,443,true,GRU,South America,São Paulo,364,2.45
158.178.129.114,2053,443,true,TLV,Middle East,Tel Aviv,202,2.41
158.178.129.114,8443,443,true,TLV,Middle East,Tel Aviv,186,2.24
150.230.20.156,8443,443,true,AMS,Europe,Amsterdam,171,2.15
89.168.19.74,2095,443,true,CDG,Europe,Paris,246,2.10
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,177,2.04
141.147.29.113,2053,443,true,FRA,Europe,Frankfurt,165,2.01
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,237,1.93
158.101.11.22,443,443,true,LAX,North America,Los Angeles,209,1.79
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,191,1.71
144.24.179.157,443,443,true,FRA,Europe,Frankfurt,167,1.66
129.151.205.193,443,443,true,ARN,Europe,Stockholm,185,1.63
89.168.68.57,2053,443,true,FRA,Europe,Frankfurt,186,1.59
132.226.226.100,2083,443,true,ICN,Asia Pacific,Seoul,105,1.53
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,177,1.48
140.238.158.238,443,443,true,YYZ,North America,Toronto,232,1.41
193.123.34.118,443,443,true,FRA,Europe,Frankfurt,198,1.38
158.180.49.11,8443,443,true,FRA,Europe,Frankfurt,181,1.30
158.178.206.197,2053,443,true,CDG,Europe,Paris,168,1.23
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,185,1.14
193.123.69.77,443,443,true,CDG,Europe,Paris,77,1.08
158.180.49.11,2053,443,true,FRA,Europe,Frankfurt,169,0.96
158.178.206.197,8443,443,true,CDG,Europe,Paris,166,0.93
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,166,0.74
129.159.84.71,443,443,true,IAD,North America,Ashburn,234,0.70
89.168.68.57,8443,443,true,FRA,Europe,Frankfurt,166,0.67
129.159.83.88,8443,443,true,IAD,North America,Ashburn,242,0.39
192.9.246.112,8443,443,true,SJC,North America,San Jose,269,0.38
132.226.163.224,2053,443,true,GRU,South America,São Paulo,367,0.17
146.56.162.25,443,443,true,ICN,Asia Pacific,Seoul,144,0.14
155.248.202.141,443,443,true,SJC,North America,San Jose,213,0.06
130.61.87.219,443,443,true,FRA,Europe,Frankfurt,177,0.05
141.148.219.182,80,80,false,BOM,Asia Pacific,Mumbai,55,0.00
68.233.120.169,80,80,false,YYZ,North America,Toronto,258,0.00
146.235.17.31,443,443,true,SIN,Asia Pacific,Singapore,14,0.00
144.24.85.158,80,80,false,ICN,Asia Pacific,Seoul,66,0.00
152.67.222.250,80,80,false,ICN,Asia Pacific,Seoul,67,0.00
152.67.222.167,443,443,true,ICN,Asia Pacific,Seoul,67,0.00
132.226.10.65,443,443,true,NRT,Asia Pacific,Tokyo,68,0.00
138.2.1.27,443,443,true,SIN,Asia Pacific,Singapore,69,0.00
141.147.186.227,443,443,true,NRT,Asia Pacific,Tokyo,70,0.00
138.2.0.50,443,443,true,SIN,Asia Pacific,Singapore,70,0.00
158.179.164.17,2052,2052,false,ICN,Asia Pacific,Seoul,70,0.00
152.69.200.206,443,443,true,HKG,Asia Pacific,Hong Kong,71,0.00
141.147.147.28,80,80,false,KIX,Asia Pacific,Osaka,71,0.00
144.24.76.213,2052,2052,false,ICN,Asia Pacific,Seoul,72,0.00
150.230.62.27,443,80,false,KIX,Asia Pacific,Osaka,74,0.00
168.138.47.238,8443,80,false,KIX,Asia Pacific,Osaka,78,0.00
141.147.178.154,443,443,true,NRT,Asia Pacific,Tokyo,79,0.00
158.180.81.164,443,443,true,SIN,Asia Pacific,Singapore,80,0.00
140.83.57.116,8443,80,false,KIX,Asia Pacific,Osaka,90,0.00
138.2.122.7,443,443,true,SIN,Asia Pacific,Singapore,91,0.00
158.180.68.56,443,443,true,ICN,Asia Pacific,Seoul,95,0.00
140.238.29.117,443,80,false,NRT,Asia Pacific,Tokyo,97,0.00
193.123.233.143,2096,80,false,NRT,Asia Pacific,Tokyo,98,0.00
132.226.226.100,8880,80,false,ICN,Asia Pacific,Seoul,98,0.00
168.138.194.74,443,443,true,NRT,Asia Pacific,Tokyo,99,0.00
140.238.1.161,2052,2052,false,NRT,Asia Pacific,Tokyo,99,0.00
146.56.133.140,2096,80,false,NRT,Asia Pacific,Tokyo,101,0.00
132.226.226.100,2052,80,false,ICN,Asia Pacific,Seoul,103,0.00
130.162.141.160,2052,80,false,HKG,Asia Pacific,Hong Kong,104,0.00
140.238.19.2,443,80,false,NRT,Asia Pacific,Tokyo,108,0.00
158.180.87.16,443,443,true,SIN,Asia Pacific,Singapore,113,0.00
146.56.182.4,8880,8880,false,NRT,Asia Pacific,Tokyo,118,0.00
168.138.212.87,443,443,true,NRT,Asia Pacific,Tokyo,118,0.00
193.123.233.143,2083,80,false,NRT,Asia Pacific,Tokyo,122,0.00
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,166,0.00
193.122.61.167,80,80,false,FRA,Europe,Frankfurt,166,0.00
152.70.49.180,443,443,true,FRA,Europe,Frankfurt,173,0.00
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,176,0.00
152.70.59.141,443,443,true,FRA,Europe,Frankfurt,177,0.00
158.180.53.139,2087,2096,true,FRA,Europe,Frankfurt,178,0.00
79.72.88.180,443,443,true,FRA,Europe,Frankfurt,180,0.00
144.24.182.215,443,443,true,FRA,Europe,Frankfurt,181,0.00
79.72.73.254,443,443,true,FRA,Europe,Frankfurt,181,0.00
143.47.185.62,443,443,true,FRA,Europe,Frankfurt,187,0.00
165.1.76.23,80,80,false,SJC,North America,San Jose,202,0.00
158.180.63.202,443,443,true,FRA,Europe,Frankfurt,205,0.00
152.70.155.147,2086,2086,false,LAX,North America,Los Angeles,205,0.00
152.70.155.147,2082,2082,false,LAX,North America,Los Angeles,207,0.00
152.67.249.123,443,443,true,SJC,North America,San Jose,211,0.00
129.146.60.210,443,443,true,LAX,North America,Los Angeles,221,0.00
152.70.155.147,80,80,false,LAX,North America,Los Angeles,229,0.00
152.70.155.147,8880,8880,false,LAX,North America,Los Angeles,233,0.00
152.70.155.147,2095,2095,false,LAX,North America,Los Angeles,236,0.00
129.146.84.236,443,443,true,LAX,North America,Los Angeles,240,0.00
204.216.222.126,80,80,false,MRS,Europe,Marseille,241,0.00
152.70.155.147,8080,8080,false,LAX,North America,Los Angeles,244,0.00
158.101.98.60,2053,443,true,IAD,North America,Ashburn,248,0.00
150.136.87.192,443,443,true,IAD,North America,Ashburn,255,0.00
129.80.123.71,443,443,true,IAD,North America,Ashburn,271,0.00
79.72.65.247,443,443,true,FRA,Europe,Frankfurt,295,0.00
150.230.126.105,443,443,true,FRA,Europe,Frankfurt,302,0.00
164.152.34.166,80,8080,false,GRU,South America,São Paulo,366,0.00
